song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
She Got The Best Of Me ,Luke Combs,31,54.0,31,21,52c2f1cc-1dc0-4411-bc51-a21fe3b8a88c,,,,,,,,,
Baby Shark,Pinkfong,32,,32,1,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9,danceable,hip,male,not_aggressive,voice,114.734375,A#,0.937664628029,not_happy
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,33,60.0,33,7,ef25078d-6942-42ab-8254-02af8ac428b8,,,,,,,,,
You Say,Lauren Daigle,34,59.0,34,25,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Uproar,Lil Wayne,35,56.0,7,14,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
A Lot,21 Savage,36,37.0,36,2,39fb60ce-0c92-4e72-930b-cc6c2d4efcee,danceable,dan,female,not_aggressive,voice,146.027099609,F,0.94995445013,not_happy
Best Shot,Jimmie Allen,37,61.0,37,16,1e933b5d-6956-4cb4-9973-03edc2f72356,,,,,,,,,
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,57.0,38,2,22170a19-4923-4dfb-8708-b38b9e6314c1,,,,,,,,,
Drunk Me,Mitchell Tenpenny,39,64.0,39,21,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1,danceable,pop,female,not_aggressive,voice,87.9701690674,D,0.875709474087,happy
Be Alright,Dean Lewis,40,63.0,40,10,6cb28fbd-05fc-479b-b192-a498f79b3e2e,danceable,pop,female,not_aggressive,voice,126.561714172,B,0.744760930538,not_happy
Sweet But Psycho,Ava Max,41,83.0,41,3,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
Sixteen,Thomas Rhett,42,79.0,42,8,5ea5b5de-1312-43f1-983e-9d753434b2f3,danceable,pop,female,not_aggressive,voice,106.918266296,C#,0.883783698082,not_happy
Talk To Me,Tory Lanez & Rich The Kid,43,72.0,43,10,dd058edd-e931-449b-a387-61b3aea393ce,,,,,,,,,
Backin' It Up,Pardison Fontaine Featuring Cardi B,44,69.0,44,12,737b1774-76b5-428d-a7e8-e6d127f0a2d9,,,,,,,,,
