song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Bury A Friend,2019-02-16,Billie Eilish,14,74.0,14,2,fedfbc44-559b-4676-ac8b-35fbebb0400f,not_danceable,jaz,female,not_aggressive,voice,125.839836121,G,0.478607833385,not_happy
Money,2019-02-16,Cardi B,16,13.0,13,16,765b0769-7801-486e-986c-0b0e2967efba,,,,,,,,,
Better,2019-02-16,Khalid,18,23.0,18,21,ba73118f-7c13-43f6-933c-9f048fe8c01f,danceable,hip,female,not_aggressive,instrumental,97.8721160889,A#,0.894053637981,not_happy
Thotiana,2019-02-16,Blueface,20,28.0,20,4,710f99d3-fa5d-4ab0-917d-374358e034c2,danceable,rhy,male,not_aggressive,voice,103.95426178,A#,0.692185342312,not_happy
Better Now,2019-02-16,Post Malone,21,19.0,3,41,2b632288-0cca-4cc8-85cc-8272f862920e,danceable,pop,female,not_aggressive,voice,144.721481323,A#,0.792555332184,not_happy
Alone,2019-02-16,Marshmello,28,,28,11,d5df3cb8-43b6-4766-997a-82c276eb9d28,,,,,,,,,
Sweet But Psycho,2019-02-16,Ava Max,30,32.0,30,8,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
Tequila,2019-02-16,Dan + Shay,31,29.0,21,40,9703cf42-53d5-42e1-8159-93ff890eec3e,danceable,pop,male,not_aggressive,voice,85.9320831299,B,0.89390206337,not_happy
Look Back At It,2019-02-16,A Boogie Wit da Hoodie,32,40.0,32,9,cc101b68-19c4-4dd2-be11-e4c0438130d4,,,,,,,,,
Lucid Dreams,2019-02-16,Juice WRLD,34,27.0,2,39,f7f36033-0902-460f-8416-52b1e62f66ce,,,,,,,,,
Breathin,2019-02-16,Ariana Grande,35,25.0,12,25,8d04d497-84b3-4a5b-85a1-46948e7f5f72,danceable,pop,female,not_aggressive,instrumental,99.7404251099,F,0.92124080658,not_happy
Beautiful Crazy,2019-02-16,Luke Combs,36,38.0,36,13,6d95ede5-1d26-43b4-b53a-56f2cbe0958b,,,,,,,,,
You Say,2019-02-16,Lauren Daigle,37,39.0,34,30,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Trip,2019-02-16,Ella Mai,38,35.0,11,27,6b16cc43-7752-4eb3-ad55-fc04505f4b34,danceable,rhy,female,not_aggressive,instrumental,162.401687622,A,0.729755103588,not_happy
I Like It,2019-02-16,"Cardi B, Bad Bunny & J Balvin",39,41.0,1,44,93951877-d1ad-4ebd-a41a-3d818d237cca,danceable,hip,male,not_aggressive,instrumental,135.991790771,F,0.845757007599,not_happy
Baby Shark,2019-02-16,Pinkfong,40,36.0,32,6,88383c15-26f1-464e-9d47-768dc62c4937,,,,,,,,,
Love Lies,2019-02-16,Khalid & Normani,41,37.0,9,51,09a95083-124c-45a6-886a-75cc9952a800,,,,,,,,,
This Is It,2019-02-16,Scotty McCreery,42,49.0,42,9,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
