song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
I've Gotta Be Me,1969-01-11,Sammy Davis Jr.,46,47,46,5,bdf63dc8-6777-4feb-9d0c-3d640ade18bb
"Baby, Baby Don't Cry",1969-01-11,Smokey Robinson & The Miracles,47,53,47,2,4c9b9516-d55a-45cc-a168-214a5791b4b3
Build Me Up Buttercup,1969-01-11,The Foundations,48,84,48,2,22add27b-0493-4513-8196-62573e36966b
Chewy Chewy,1969-01-11,Ohio Express,49,36,15,13,3d75a372-2874-4a20-8737-027650571a70
Little Arrows,1969-01-11,Leapy Lee,50,45,16,14,7a4b70ca-bdaf-4e07-9f5a-bb708c9d559c
The Beginning Of My End,1969-01-11,The Unifics,51,51,51,5,6956371f-1796-4928-b506-f3f257a2dc36
California Dreamin',1969-01-11,Bobby Womack,52,54,52,6,f995fcf8-1a16-4d1b-b7cb-ed81357c5cab
Crosstown Traffic,1969-01-11,The Jimi Hendrix Experience,53,56,52,7,71f3b824-fc25-4d54-9f45-bcf935e736be
Ramblin' Gamblin' Man,1969-01-11,Bob Seger System,54,65,54,4,672f64d6-3975-4486-812a-20880cbfbef1
A Minute Of Your Time,1969-01-11,Tom Jones,55,68,55,4,9f5df474-50a9-472d-9db1-4ee5db248902
"Ob-La-Di, Ob-La-Da",1969-01-11,Arthur Conley,56,88,56,2,3b965fa8-5fc8-483b-83de-9d54f4898d20
Malinda,1969-01-11,Bobby Taylor & The Vancouvers,57,48,48,6,ff70c505-9e73-44b0-8ded-a86451dfdffd
Feelin' So Good (S.k.o.o.b.y-D.o.o),1969-01-11,The Archies,63,78,63,3,a08b334b-75a6-435c-9c5a-707661ee5e6f
Does Anybody Know I'm Here,1969-01-11,The Dells,64,66,64,3,b0f7df5d-9968-47c9-a8be-4efdc261dbbd
This Magic Moment,1969-01-11,Jay & The Americans,65,79,65,3,8b142fe2-71d4-42be-87a5-59e33aeedfc8
I Can't Turn You Loose,1969-01-11,The Chambers Brothers,67,50,37,8,66620608-cc92-4521-897e-f271cca63068
Isn't It Lonely Together,1969-01-11,O.C. Smith,68,63,63,5,bb88086c-5cb4-4512-98dd-f19ae5a55025
Just Ain't No Love,1969-01-11,Barbara Acklin,69,67,67,9,3d519299-a477-4247-8e2d-56e0dc77a068
You Got Soul,1969-01-11,Johnny Nash,70,72,70,5,c06609dd-71c6-42db-9aea-3ab17d84b0f3
White Houses,1969-01-11,Eric Burdon & The Animals,71,71,67,8,670faba5-47f5-4a25-a888-1cca79e77d73
You Showed Me,1969-01-11,The Turtles,72,90,72,2,2a957c89-e3ea-4229-b5c4-7aff1a955395
"Sweet Cream Ladies, Forward March",1969-01-11,The Box Tops,73,85,73,3,cdd1d25a-aff7-429a-b867-f42490c0317b
Condition Red,1969-01-11,The Goodees,74,74,74,4,efd1204c-18fe-4bb1-ac6e-2e1c0d9e9805
Not On The Outside,1969-01-11,The Moments,75,75,75,3,d511d873-a4d7-4ad4-90b2-2e9af2fbf8f0
Chitty Chitty Bang Bang,1969-01-11,Paul Mauriat,77,76,76,8,3c15ce9d-131b-46cb-a8f8-3916746d6094
Rain In My Heart,1969-01-11,Frank Sinatra,81,82,81,2,89039afe-bc2c-460e-b22c-f117d77c70f7
Things I'd Like To Say,1969-01-11,New Colony Six,82,96,82,3,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b
Goodnight My Love,1969-01-11,Paul Anka,83,100,83,2,de3b3189-fe82-45bf-80b4-156e0d96eb51
The Thought Of Loving You,1969-01-11,The Crystal Mansion,84,95,84,4,b5dc98e1-27bc-4ca5-9243-aaa4921ea511
She's A Lady,1969-01-11,John Sebastian,85,89,85,2,55594ec6-493b-4a07-830b-79b599bccef1
Eloise,1969-01-11,Barry Ryan,86,91,86,3,2edb8468-f2b6-4552-a19d-7a98a616e7bf
Tit For Tat (Ain't No Taking Back),1969-01-11,James Brown,87,86,86,4,b90f2e6a-5523-441c-b74f-22454fe132ae
Vance,1969-01-11,Roger Miller,88,80,80,6,f2f39761-1f1b-42cb-b950-28e74af8cb5a
Games People Play,1969-01-11,Joe South,91,,91,1,49df26b1-fa90-48f3-a29d-5b9fba0071e7
You've Got The Power,1969-01-11,The Esquires,93,93,93,3,d5f39235-88c7-49fa-b7a8-da6451506489
Looking Back,1969-01-11,Joe Simon,94,94,91,4,63c27a99-1670-4af1-95b9-de49fb6167df
If I Only Had Time,1969-01-11,Nick DeCaro,95,,95,1,5f88cfca-faa5-45ff-941f-b89f041bd3cb
I Can't Help It (If I'm Still In Love With You),1969-01-11,Al Martino,100,97,97,3,6486ef1e-54e9-4eac-b263-8de6bd5deb33
I Heard It Through The Grapevine,1969-01-18,Marvin Gaye,1,1,1,9,6cc64992-93cc-434a-9862-f378eda1f5de
I'm Gonna Make You Love Me,1969-01-18,Diana Ross And The Supremes & The Temptations,2,2,2,7,aa2b2c2d-60c4-4444-b880-0a21aced37df
Soulful Strut,1969-01-18,Young-Holt Unlimited,3,4,3,8,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c
Crimson And Clover,1969-01-18,Tommy James And The Shondells,4,8,4,6,38812525-a9ab-4660-b6f5-7e34cd57af16
Hooked On A Feeling,1969-01-18,B.J. Thomas,5,5,5,10,5513860b-56fc-44a9-8021-e21850101151
Wichita Lineman,1969-01-18,Glen Campbell,6,3,3,12,44e5ab8d-d9c9-4ea1-b414-35daf627692b
For Once In My Life,1969-01-18,Stevie Wonder,7,7,2,12,250e218e-4a6d-449c-89c8-5ba9bf0da6ad
Touch Me,1969-01-18,The Doors,8,18,8,4,7d0b3e3e-c6b9-4175-9325-628b27763fbd
Worst That Could Happen,1969-01-18,Brooklyn Bridge,9,23,9,5,ea4b14dd-f035-4a0a-9bc0-f31e3ec09400
Son-Of-A Preacher Man,1969-01-18,Dusty Springfield,10,13,10,8,f5ac67b4-2e37-4718-b40e-c49fc6cdb2b5
Cinnamon,1969-01-18,Derek,11,11,11,13,8a219f88-6b7a-4cc8-8234-68b3874420b7
Going Up The Country,1969-01-18,Canned Heat,12,12,12,7,47fc1445-1679-427f-a092-0ad000b48565
Cloud Nine,1969-01-18,The Temptations,13,6,6,10,48459fc7-efcd-49ae-bcf9-2543eff3f4e7
Lo Mucho Que Te Quiero (The More I Love You),1969-01-18,Rene & Rene,14,14,14,9,419f5748-4269-4e60-bd0e-ca736cdd2e52
I Love How You Love Me,1969-01-18,Bobby Vinton,19,10,9,12,0d37948f-2c4b-490d-b65d-ce77f1585285
Who's Making Love,1969-01-18,Johnnie Taylor,21,20,5,13,1695849a-3daf-47c4-b3e0-d93917d1ee79
"Abraham, Martin And John",1969-01-18,Dion,22,16,4,13,0d6cb0fb-46db-4ce0-9778-26af42071a40
Too Weak To Fight,1969-01-18,Clarence Carter,23,21,13,11,538ade79-8760-41f0-817b-d67301849a72
Stand By Your Man,1969-01-18,Tammy Wynette,24,33,24,11,c843899a-7996-4e9f-9df4-7c2ccf1a24e3
Can I Change My Mind,1969-01-18,Tyrone Davis,25,28,25,5,91e8b6af-9059-4358-a606-ac25cf2722c3
Hey Jude,1969-01-18,Wilson Pickett,26,27,26,5,a1c9dd97-c627-4ac7-97c9-0d1c331ea8a0
Hang 'Em High,1969-01-18,Booker T. & The MG's,27,31,27,11,fd7c5062-d369-46d2-a0e1-febe4b477c0e
Bella Linda,1969-01-18,The Grass Roots,28,38,28,8,535a13de-c8b9-41b0-a792-ea866b76cff0
California Soul,1969-01-18,The 5th Dimension,29,34,29,5,7e92a2b9-0231-421a-a17d-e9eac814758b
This Is My Country,1969-01-18,The Impressions,30,25,25,8,4919c5e5-185d-4aed-96c1-12dcbe59c59d
Build Me Up Buttercup,1969-01-18,The Foundations,31,48,31,3,22add27b-0493-4513-8196-62573e36966b
Magic Carpet Ride,1969-01-18,Steppenwolf,32,29,3,16,2b13d4f4-51e9-45b4-a9c8-3cdeff279e4c
Both Sides Now,1969-01-18,Judy Collins,33,22,8,11,daf536ae-863d-4c0f-9bf6-54fcf14759b0
Baby Let's Wait,1969-01-18,The Royal Guardsmen,36,39,36,10,5fe1966b-b9cc-4269-abe8-27f2f017b5be
I've Gotta Be Me,1969-01-18,Sammy Davis Jr.,37,46,37,6,bdf63dc8-6777-4feb-9d0c-3d640ade18bb
Hey Jude,1969-01-18,The Beatles,38,30,1,19,a15c0aea-ac38-4c69-963e-0aac7940be03
The Beginning Of My End,1969-01-18,The Unifics,39,51,39,6,6956371f-1796-4928-b506-f3f257a2dc36
Are You Happy,1969-01-18,Jerry Butler,40,42,40,7,0784925d-d220-4ed7-8da9-d4375ac61c7f
Ready Or Not Here I Come (Can't Hide From Love),1969-01-18,The Delfonics,41,43,41,7,259647c2-99f7-47af-975e-eb6ab0403559
"Baby, Baby Don't Cry",1969-01-18,Smokey Robinson & The Miracles,42,47,42,3,378b7890-500d-44ff-9fd9-ccc41bcb8635
This Magic Moment,1969-01-18,Jay & The Americans,43,65,43,4,fc1a7b8c-c8ea-4773-95e2-5f42065c14b5
Papa's Got A Brand New Bag,1969-01-18,Otis Redding,44,37,21,8,f0a106bb-668b-4d8e-8b2b-c1de20ada3f6
California Dreamin',1969-01-18,Bobby Womack,45,52,45,7,dd918597-6e9a-4f60-8a19-845a67d41d87
You Showed Me,1969-01-18,The Turtles,46,72,46,3,310407db-f336-4014-8608-fdeab3e172f9
