song,artist,this_week,last_week,peak_position,weeks_on_chart
Love Child,Diana Ross & The Supremes,18,9,1,14
I Love How You Love Me,Bobby Vinton,19,10,9,12
Stormy,Classics IV Featuring Dennis Yost,20,15,5,13
Who's Making Love,Johnnie Taylor,21,20,5,13
"Abraham, Martin And John",Dion,22,16,4,13
Too Weak To Fight,Clarence Carter,23,21,13,11
Stand By Your Man,Tammy Wynette,24,33,24,11
Can I Change My Mind,Tyrone Davis,25,28,25,5
Hey Jude,Wilson Pickett,26,27,26,5
Hang 'Em High,Booker T. & The MG's,27,31,27,11
Bella Linda,The Grass Roots,28,38,28,8
California Soul,The 5th Dimension,29,34,29,5
This Is My Country,The Impressions,30,25,25,8
Build Me Up Buttercup,The Foundations,31,48,31,3
Magic Carpet Ride,Steppenwolf,32,29,3,16
Both Sides Now,Judy Collins,33,22,8,11
There's Gonna Be A Showdown,Archie Bell & The Drells,34,35,34,6
A Ray Of Hope,The Rascals,35,24,24,7
Baby Let's Wait,The Royal Guardsmen,36,39,36,10
I've Gotta Be Me,Sammy Davis Jr.,37,46,37,6
Hey Jude,The Beatles,38,30,1,19
The Beginning Of My End,The Unifics,39,51,39,6
Are You Happy,Jerry Butler,40,42,40,7
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,41,43,41,7
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,42,47,42,3
This Magic Moment,Jay & The Americans,43,65,43,4
Papa's Got A Brand New Bag,Otis Redding,44,37,21,8
California Dreamin',Bobby Womack,45,52,45,7
You Showed Me,The Turtles,46,72,46,3
Goodnight My Love,Paul Anka,47,83,47,3
Ramblin' Gamblin' Man,Bob Seger System,48,54,48,5
Does Anybody Know I'm Here,The Dells,49,64,49,4
Rainbow Ride,Andy Kim,50,60,50,5
"Ob-La-Di, Ob-La-Da",Arthur Conley,51,56,51,3
"Soul Sister, Brown Sugar",Sam & Dave,52,58,52,5
Daddy Sang Bass,Johnny Cash,53,59,53,4
My Favorite Things,Herb Alpert & The Tijuana Brass,54,45,45,6
A Minute Of Your Time,Tom Jones,55,55,55,5
Crosstown Traffic,The Jimi Hendrix Experience,56,53,52,8
Condition Red,The Goodees,57,74,57,5
Things I'd Like To Say,New Colony Six,58,82,58,4
You Got Soul,Johnny Nash,59,70,59,6
Not On The Outside,The Moments,60,75,60,4
Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,61,63,61,4
Games People Play,Joe South,62,91,62,2
Bluebirds Over The Mountain,The Beach Boys,63,62,61,6
"Sweet Cream Ladies, Forward March",The Box Tops,64,73,64,4
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",65,76,65,4
Rain In My Heart,Frank Sinatra,66,81,66,3
Take Care Of Your Homework,Johnnie Taylor,67,,67,1
Isn't It Lonely Together,O.C. Smith,68,68,63,6
I Forgot To Be Your Lover,William Bell,69,78,69,3
Rockin' In The Same Old Boat,Bobby Bland,70,66,58,10
But You Know I Love You,The First Edition,71,,71,1
Malinda,Bobby Taylor & The Vancouvers,72,57,48,7
Looking Back,Joe Simon,73,94,73,5
I Got A Line On You,Spirit,74,,74,1
Tragedy,Brian Hyland,75,98,75,2
There'll Come A Time,Betty Everett,76,,76,1
Home Cookin,Jr. Walker & The All Stars,77,,77,1
He Called Me Baby,Ella Washington,78,,78,1
Riot,Hugh Masekela,79,97,79,2
Almost Persuaded,Etta James,80,,80,1
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,81,90,81,3
Getting The Corners,The T.S.U. Toronadoes,82,,82,1
Kay,"John Wesley Ryles, I",83,89,83,4
The Thought Of Loving You,The Crystal Mansion,84,84,84,5
She's A Lady,John Sebastian,85,85,85,3
Eloise,Barry Ryan,86,86,86,4
Bubble Gum Music,Rock & Roll Double Bubble,87,,87,1
Poor Side Of Town,Al Wilson,88,,88,1
May I,Bill Deal & The Rhondels,89,,89,1
The Grooviest Girl In The World,The Fun And Games,90,,90,1
Shout! - Part 1,Chambers Brothers,91,92,83,5
You've Got The Power,The Esquires,92,93,92,4
Kum Ba Yah,Tommy Leonetti,93,,93,1
I'm Gonna Hold On Long As I Can,The Marvelettes,94,,94,1
Ain't Got No; I Got Life,Nina Simone,95,96,95,3
Will You Be Staying After Sunday,The Peppermint Rainbow,96,,96,1
This Old Heart Of Mine (Is Weak For You),Tammi Terrell,97,,97,1
Fox On The Run,Manfred Mann,98,,98,1
Mendocino,Sir Douglas Quintet,99,,99,1
That's Your Baby,Joe Tex,100,,100,1
I Heard It Through The Grapevine,Marvin Gaye,1,1,1,10
Crimson And Clover,Tommy James And The Shondells,2,4,2,7
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,3,2,2,8
Soulful Strut,Young-Holt Unlimited,4,3,3,9
Everyday People,Sly & The Family Stone,5,15,5,9
Hooked On A Feeling,B.J. Thomas,6,5,5,11
Touch Me,The Doors,7,8,7,5
Worst That Could Happen,Brooklyn Bridge,8,9,8,6
I Started A Joke,Bee Gees,9,16,9,6
Son-Of-A Preacher Man,Dusty Springfield,10,10,10,9
Going Up The Country,Canned Heat,11,12,11,8
Can I Change My Mind,Tyrone Davis,12,25,12,6
Wichita Lineman,Glen Campbell,13,6,3,13
For Once In My Life,Stevie Wonder,14,7,2,13
Hang 'Em High,Booker T. & The MG's,15,27,15,12
If I Can Dream,Elvis Presley,16,17,16,9
Cloud Nine,The Temptations,17,13,6,11
Cinnamon,Derek,18,11,11,14
Love Child,Diana Ross & The Supremes,19,18,1,15
I Love How You Love Me,Bobby Vinton,20,19,9,13
There's Gonna Be A Showdown,Archie Bell & The Drells,21,34,21,7
Stand By Your Man,Tammy Wynette,22,24,22,12
Too Weak To Fight,Clarence Carter,23,23,13,12
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,24,14,14,10
Hey Jude,Wilson Pickett,25,26,25,6
Stormy,Classics IV Featuring Dennis Yost,26,20,5,14
Who's Making Love,Johnnie Taylor,27,21,5,14
Build Me Up Buttercup,The Foundations,28,31,28,4
California Soul,The 5th Dimension,29,29,29,6
This Is My Country,The Impressions,30,30,25,9
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,31,42,31,4
I've Gotta Be Me,Sammy Davis Jr.,32,37,32,7
Ramblin' Gamblin' Man,Bob Seger System,33,48,33,6
You Showed Me,The Turtles,34,46,34,4
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,35,41,35,8
Baby Let's Wait,The Royal Guardsmen,36,36,36,11
This Magic Moment,Jay & The Americans,37,43,37,5
The Beginning Of My End,The Unifics,38,39,38,7
Are You Happy,Jerry Butler,39,40,39,8
Take Care Of Your Homework,Johnnie Taylor,40,67,40,2
Bella Linda,The Grass Roots,41,28,28,9
"Abraham, Martin And John",Dion,42,22,4,14
California Dreamin',Bobby Womack,43,45,43,8
Papa's Got A Brand New Bag,Otis Redding,44,44,21,9
Goodnight My Love,Paul Anka,45,47,45,4
A Ray Of Hope,The Rascals,46,35,24,8
I'm Livin' In Shame,Diana Ross & The Supremes,47,,47,1
Does Anybody Know I'm Here,The Dells,48,49,48,5
Rainbow Ride,Andy Kim,49,50,49,6
"Soul Sister, Brown Sugar",Sam & Dave,50,52,50,6
"Ob-La-Di, Ob-La-Da",Arthur Conley,51,51,51,4
Games People Play,Joe South,52,62,52,3
Daddy Sang Bass,Johnny Cash,53,53,53,5
A Minute Of Your Time,Tom Jones,54,55,54,6
Condition Red,The Goodees,55,57,55,6
Things I'd Like To Say,New Colony Six,56,58,56,5
Not On The Outside,The Moments,57,60,57,5
